ef,recall,computations_per_node
5,0.2959999999999998,0.045648
10,0.4739999999999999,0.077848
20,0.6699999999999995,0.129475
30,0.7579999999999996,0.170843
40,0.8159999999999994,0.208407
50,0.8519999999999994,0.244644
