ef,recall,computations_per_node
5,0.376,0.048198000000000005
10,0.5280000000000001,0.07929800000000001
20,0.7019999999999996,0.130377
30,0.7859999999999991,0.172861
40,0.8499999999999992,0.212961
50,0.8899999999999996,0.24825999999999998
